iter	RMSE
0	5321.064796
1	3640.175092
2	2864.054481
3	2065.700627
4	1659.805658
5	1359.213932
6	1201.024855
7	1009.111414
8	912.3432614
9	814.6974053
10	666.9888572
11	615.964322
12	572.788601
13	484.0987615
14	454.9352535
15	433.1870999
16	416.4206501
17	360.0885353
18	343.6092679
19	309.0120115
20	295.7902392
21	268.7282952
22	253.4885559
23	233.8133953
24	225.8291126
25	218.7066493
26	205.1373941
27	192.2197935
28	184.1780318
29	174.6518665
30	169.7312191
31	165.5347325
32	159.008897
33	152.8960928
34	146.0460882
35	142.1708422
36	138.0833373
37	135.6872468
38	131.9343775
39	127.059398
40	123.278198
41	119.1138977
42	115.8313372
43	111.9553417
44	109.1016759
45	105.8576733
46	104.4901771
47	100.852699
48	98.65450208
49	96.40272499
