iter	Passed	Remaining
0	158	7784
1	176	4227
2	194	3052
3	214	2469
4	234	2113
5	254	1862
6	274	1684
7	294	1544
8	315	1439
9	336	1345
10	358	1270
11	383	1214
12	407	1158
13	428	1103
14	455	1062
15	479	1019
16	502	976
17	525	933
18	547	892
19	571	857
20	596	824
21	619	788
22	641	753
23	666	721
24	689	689
25	712	658
26	735	626
27	758	595
28	782	566
29	808	538
30	831	509
31	854	480
32	902	465
33	934	439
34	959	411
35	984	382
36	1008	354
37	1031	325
38	1056	297
39	1079	269
40	1105	242
41	1130	215
42	1157	188
43	1181	161
44	1208	134
45	1234	107
46	1259	80
47	1283	53
48	1308	26
49	1334	0
